MatchId,MatchResult,SeasonId,Team1,Team1Score,Team1_all_outs_conceded,Team2,Team2Score,Team2_all_outs_conceded,home_team_name
Match 1,U Mumba beat Jaipur Pink Panthers (45 - 31), Season 1,Jaipur Pink Panthers,28.0,4.0,U Mumba,44.0,2.0,U Mumba
Match 2,Bengaluru Bulls beat Dabang Delhi (47 - 28), Season 1,Bengaluru Bulls,42.0,0.0,Dabang Delhi K.C.,28.0,6.0,TBC
Match 3,Bengaluru Bulls beat Puneri Paltan (40 - 37), Season 1,Bengaluru Bulls,39.0,2.0,Puneri Paltan,34.0,4.0,TBC
Match 4,U Mumba beat Bengal Warriors (36 - 25), Season 1,Bengal Warriors,24.0,2.0,U Mumba,35.0,0.0,U Mumba
Match 5,Dabang Delhi beat Puneri Paltan (35 - 31), Season 1,Dabang Delhi K.C.,35.0,2.0,Puneri Paltan,31.0,2.0,TBC
Match 6,Match Drawn (35 - 35), Season 1,U Mumba,34.0,4.0,Telugu Titans,35.0,2.0,U Mumba
Match 7,U Mumba beat Patna Pirates (36 - 33), Season 1,U Mumba,35.0,2.0,Patna Pirates,32.0,4.0,U Mumba
Match 8,Bengaluru Bulls beat Bengal Warriors (46 - 30), Season 1,Bengaluru Bulls,46.0,0.0,Bengal Warriors,30.0,6.0,Bengal Warriors
Match 9,Jaipur Pink Panthers beat Telugu Titans (46 - 32), Season 1,Jaipur Pink Panthers,46.0,2.0,Telugu Titans,31.0,4.0,
Match 10,Bengal Warriors beat Dabang Delhi (42 - 40), Season 1,Dabang Delhi K.C.,39.0,4.0,Bengal Warriors,40.0,4.0,Bengal Warriors
Match 11,Patna Pirates beat Telugu Titans (38 - 35), Season 1,Patna Pirates,34.0,2.0,Telugu Titans,35.0,2.0,
Match 12,Bengal Warriors beat Puneri Paltan (38 - 35), Season 1,Bengal Warriors,37.0,4.0,Puneri Paltan,34.0,2.0,Bengal Warriors
Match 13,Jaipur Pink Panthers beat Patna Pirates (40 - 18), Season 1,Jaipur Pink Panthers,35.0,0.0,Patna Pirates,18.0,4.0,
Match 14,U Mumba beat Bengal Warriors (38 - 29), Season 1,Bengal Warriors,28.0,4.0,U Mumba,38.0,0.0,Bengal Warriors
Match 15,Telugu Titans beat Dabang Delhi (39 - 35), Season 1,Dabang Delhi K.C.,34.0,2.0,Telugu Titans,36.0,2.0,Dabang Delhi K.C.
Match 16,Puneri Paltan beat Bengaluru Bulls (33 - 31), Season 1,Bengaluru Bulls,30.0,2.0,Puneri Paltan,31.0,2.0,
Match 17,U Mumba beat Puneri Paltan (44 - 28), Season 1,U Mumba,41.0,2.0,Puneri Paltan,25.0,6.0,
Match 18,Patna Pirates beat Dabang Delhi (36 - 31), Season 1,Dabang Delhi K.C.,30.0,4.0,Patna Pirates,33.0,0.0,Dabang Delhi K.C.
Match 19,U Mumba beat Bengaluru Bulls (45 - 34), Season 1,Bengaluru Bulls,32.0,6.0,U Mumba,43.0,0.0,
Match 20,Jaipur Pink Panthers beat Dabang Delhi (40 - 31), Season 1,Dabang Delhi K.C.,29.0,4.0,Jaipur Pink Panthers,36.0,2.0,Dabang Delhi K.C.
Match 21,Dabang Delhi beat Bengal Warriors (46 - 36), Season 1,Dabang Delhi K.C.,45.0,4.0,Bengal Warriors,35.0,6.0,Dabang Delhi K.C.
Match 22,Patna Pirates beat Puneri Paltan (35 - 27), Season 1,Patna Pirates,34.0,0.0,Puneri Paltan,26.0,0.0,Patna Pirates
Match 23,Bengal Warriors beat Telugu Titans (40 - 35), Season 1,Bengal Warriors,39.0,2.0,Telugu Titans,34.0,2.0,
Match 24,Match Drawn (37 - 37), Season 1,U Mumba,37.0,2.0,Patna Pirates,37.0,2.0,Patna Pirates
Match 25,Jaipur Pink Panthers beat Telugu Titans (49 - 29), Season 1,Jaipur Pink Panthers,48.0,2.0,Telugu Titans,29.0,4.0,
Match 26,Match Drawn (30 - 30), Season 1,Dabang Delhi K.C.,28.0,2.0,Patna Pirates,30.0,2.0,Patna Pirates
Match 27,Jaipur Pink Panthers beat Bengal Warriors (39 - 23), Season 1,Jaipur Pink Panthers,36.0,0.0,Bengal Warriors,23.0,4.0,
Match 28,Bengaluru Bulls beat Patna Pirates (37 - 35), Season 1,Bengaluru Bulls,33.0,2.0,Patna Pirates,33.0,4.0,Patna Pirates
Match 29,Telugu Titans beat Puneri Paltan (42 - 36), Season 1,Puneri Paltan,34.0,4.0,Telugu Titans,41.0,2.0,Puneri Paltan
Match 30,Bengaluru Bulls beat U Mumba (33 - 30), Season 1,Bengaluru Bulls,32.0,0.0,U Mumba,27.0,2.0,
Match 31,Puneri Paltan beat Bengal Warriors (40 - 30), Season 1,Bengal Warriors,29.0,4.0,Puneri Paltan,38.0,2.0,Puneri Paltan
Match 32,Dabang Delhi beat Bengaluru Bulls (29 - 27), Season 1,Bengaluru Bulls,26.0,2.0,Dabang Delhi K.C.,25.0,2.0,
Match 33,Jaipur Pink Panthers beat Puneri Paltan (50 - 23), Season 1,Jaipur Pink Panthers,48.0,0.0,Puneri Paltan,22.0,6.0,Puneri Paltan
Match 34,Dabang Delhi beat U Mumba (36 - 27), Season 1,Dabang Delhi K.C.,34.0,0.0,U Mumba,22.0,4.0,
Match 35,Patna Pirates beat Puneri Paltan (37 - 31), Season 1,Patna Pirates,34.0,2.0,Puneri Paltan,29.0,4.0,Puneri Paltan
Match 36,Match Drawn (28 - 28), Season 1,Bengaluru Bulls,28.0,2.0,Telugu Titans,28.0,0.0,Telugu Titans
Match 37,Jaipur Pink Panthers beat Bengal Warriors (41 - 33), Season 1,Jaipur Pink Panthers,41.0,2.0,Bengal Warriors,31.0,2.0,
Match 38,Patna Pirates beat Jaipur Pink Panthers (52 - 30), Season 1,Jaipur Pink Panthers,28.0,8.0,Patna Pirates,51.0,0.0,
Match 39,Telugu Titans beat U Mumba (44 - 43), Season 1,U Mumba,42.0,6.0,Telugu Titans,42.0,2.0,Telugu Titans
Match 40,Bengal Warriors beat Patna Pirates (30 - 28), Season 1,Bengal Warriors,29.0,0.0,Patna Pirates,27.0,2.0,
Match 41,Telugu Titans beat Puneri Paltan (60 - 24), Season 1,Puneri Paltan,23.0,8.0,Telugu Titans,58.0,0.0,Telugu Titans
Match 42,Telugu Titans beat Dabang Delhi (45 - 26), Season 1,Dabang Delhi K.C.,26.0,6.0,Telugu Titans,42.0,0.0,Telugu Titans
Match 43,Jaipur Pink Panthers beat Bengaluru Bulls (36 - 31), Season 1,Bengaluru Bulls,29.0,4.0,Jaipur Pink Panthers,35.0,2.0,Jaipur Pink Panthers
Match 44,Patna Pirates beat Bengal Warriors (36 - 32), Season 1,Bengal Warriors,28.0,4.0,Patna Pirates,36.0,0.0,
Match 45,Match Drawn (31 - 31), Season 1,Jaipur Pink Panthers,30.0,2.0,U Mumba,31.0,2.0,Jaipur Pink Panthers
Match 46,Match Drawn (34 - 34), Season 1,Bengal Warriors,34.0,4.0,Telugu Titans,33.0,4.0,
Match 47,Jaipur Pink Panthers beat Dabang Delhi (41 - 31), Season 1,Dabang Delhi K.C.,30.0,6.0,Jaipur Pink Panthers,39.0,2.0,Jaipur Pink Panthers
Match 48,Telugu Titans beat Patna Pirates (32 - 29), Season 1,Patna Pirates,26.0,4.0,Telugu Titans,28.0,2.0,
Match 49,Jaipur Pink Panthers beat Puneri Paltan (33 - 27), Season 1,Jaipur Pink Panthers,30.0,2.0,Puneri Paltan,21.0,4.0,Jaipur Pink Panthers
Match 50,Bengaluru Bulls beat Bengal Warriors (37 - 24), Season 1,Bengaluru Bulls,33.0,0.0,Bengal Warriors,23.0,4.0,Bengaluru Bulls
Match 51,U Mumba beat Dabang Delhi (37 - 30), Season 1,Dabang Delhi K.C.,29.0,4.0,U Mumba,37.0,4.0,
Match 52,Dabang Delhi beat Puneri Paltan (45 - 22), Season 1,Dabang Delhi K.C.,44.0,0.0,Puneri Paltan,22.0,6.0,
Match 53,Patna Pirates beat Bengaluru Bulls (33 - 31), Season 1,Bengaluru Bulls,28.0,2.0,Patna Pirates,33.0,2.0,Bengaluru Bulls
