series_name,team_name,player_name,position_name,match_played,total_points,total_raid_points,tackle_points,total_raids,success_raids,unsuccess_raids,empty_raid,super_raids,success_raid_percent,tackle_success_rate,total_tackles,success_tackles,unsuccesful_tackles,super_tackles,most_point_in_a_match,green_cards,yellow_cards,red_cards
 Season 1,Puneri Paltan,Takamitsu Kono,All Rounder,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
 Season 2,Puneri Paltan,Takamitsu Kono,All Rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Season 3,Puneri Paltan,Takamitsu Kono,All Rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Season 5,Puneri Paltan,Takamitsu Kono,All Rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Season 6,Puneri Paltan,Takamitsu Kono,All Rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Overall,Puneri Paltan,Takamitsu Kono,All Rounder,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
 Season 1,Bengaluru Bulls,Dong Ju Hong,All Rounder,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,50.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
 Season 2,Bengaluru Bulls,Dong Ju Hong,All Rounder,4.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Season 5,Bengaluru Bulls,Dong Ju Hong,All Rounder,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,100.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
 Overall,Bengaluru Bulls,Dong Ju Hong,All Rounder,9.0,2.0,2.0,0.0,7.0,1.0,4.0,2.0,0.0,28.57,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
 Season 1,Patna Pirates,Tae Deok Eom,All Rounder,9.0,4.0,2.0,2.0,8.0,1.0,4.0,3.0,0.0,25.0,22.22,9.0,1.0,8.0,1.0,3.0,0.0,0.0,0.0
 Season 2,Patna Pirates,Tae Deok Eom,All Rounder,8.0,16.0,11.0,5.0,20.0,8.0,5.0,7.0,0.0,55.0,50.0,10.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0
 Season 3,Patna Pirates,Tae Deok Eom,All Rounder,7.0,1.0,1.0,0.0,5.0,1.0,2.0,2.0,0.0,20.0,0.0,8.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0
 Season 6,Patna Pirates,Tae Deok Eom,All Rounder,11.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,6.25,16.0,1.0,15.0,0.0,1.0,0.0,0.0,0.0
 Season 4,Patna Pirates,Tae Deok Eom,All Rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Overall,Patna Pirates,Tae Deok Eom,All Rounder,35.0,22.0,14.0,8.0,35.0,10.0,12.0,13.0,0.0,40.0,18.6,43.0,7.0,36.0,1.0,5.0,0.0,0.0,0.0
 Season 1,Bengaluru Bulls,Sanjay Shrestha,All Rounder,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Season 2,Bengaluru Bulls,Sanjay Shrestha,All Rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Season 3,Bengaluru Bulls,Sanjay Shrestha,All Rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Season 4,Bengaluru Bulls,Sanjay Shrestha,All Rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Season 5,Bengaluru Bulls,Sanjay Shrestha,All Rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Season 6,Bengaluru Bulls,Sanjay Shrestha,All Rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Season 7,Bengaluru Bulls,Sanjay Shrestha,All Rounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Overall,Bengaluru Bulls,Sanjay Shrestha,All Rounder,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Season 1,Tamil Thalaivas,Waleed Al Hasani,Raider,6.0,14.0,14.0,0.0,23.0,10.0,13.0,0.0,1.0,43.47,0.0,1.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0
 Overall,Tamil Thalaivas,Waleed Al Hasani,Raider,6.0,14.0,14.0,0.0,23.0,10.0,13.0,0.0,1.0,43.47,0.0,1.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0
 Season 1,,Sinotharan Kanesharajah,,1.0,5.0,4.0,1.0,5.0,2.0,0.0,3.0,1.0,80.0,100.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0
 Season 2,,Sinotharan Kanesharajah,,2.0,1.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,33.33,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
 Overall,,Sinotharan Kanesharajah,,3.0,6.0,5.0,1.0,8.0,2.0,1.0,5.0,1.0,62.5,50.0,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0
 Season 1,Tamil Thalaivas,Ajay Thakur,Raider,15.0,127.0,122.0,5.0,228.0,96.0,58.0,73.0,2.0,53.5,27.77,18.0,5.0,13.0,0.0,16.0,1.0,0.0,0.0
 Season 2,Tamil Thalaivas,Ajay Thakur,Raider,13.0,80.0,79.0,1.0,190.0,56.0,55.0,79.0,6.0,41.57,16.66,6.0,1.0,5.0,0.0,12.0,6.0,0.0,0.0
 Season 3,Tamil Thalaivas,Ajay Thakur,Raider,14.0,56.0,52.0,4.0,148.0,41.0,34.0,73.0,2.0,35.13,44.44,9.0,4.0,5.0,0.0,11.0,2.0,0.0,0.0
 Season 4,Tamil Thalaivas,Ajay Thakur,Raider,16.0,64.0,63.0,1.0,155.0,41.0,34.0,80.0,5.0,40.64,12.5,8.0,1.0,7.0,0.0,12.0,0.0,1.0,0.0
 Season 5,Tamil Thalaivas,Ajay Thakur,Raider,22.0,222.0,213.0,9.0,407.0,182.0,75.0,150.0,3.0,52.33,36.0,25.0,9.0,16.0,0.0,20.0,4.0,0.0,0.0
 Season 6,Tamil Thalaivas,Ajay Thakur,Raider,22.0,204.0,203.0,1.0,388.0,177.0,80.0,131.0,3.0,52.31,9.09,11.0,1.0,10.0,0.0,20.0,3.0,0.0,0.0
 Season 7,Tamil Thalaivas,Ajay Thakur,Raider,13.0,58.0,58.0,0.0,171.0,47.0,43.0,81.0,2.0,33.91,0.0,5.0,0.0,5.0,0.0,11.0,2.0,0.0,0.0
 Overall,Tamil Thalaivas,Ajay Thakur,Raider,115.0,811.0,790.0,21.0,1687.0,640.0,379.0,667.0,23.0,46.82,25.6,82.0,21.0,61.0,0.0,20.0,18.0,1.0,0.0
 Season 1,Telugu Titans,Amit Singh Chhillar,"Defender, left corner",14.0,30.0,1.0,29.0,4.0,1.0,1.0,2.0,0.0,25.0,35.8,81.0,26.0,55.0,3.0,7.0,2.0,0.0,0.0
 Season 2,Telugu Titans,Amit Singh Chhillar,"Defender, left corner",6.0,12.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,57.14,21.0,11.0,10.0,1.0,5.0,0.0,0.0,0.0
 Season 3,Telugu Titans,Amit Singh Chhillar,"Defender, left corner",5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41,17.0,5.0,12.0,0.0,2.0,0.0,0.0,0.0
 Season 4,Telugu Titans,Amit Singh Chhillar,"Defender, left corner",9.0,13.0,0.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,38.23,34.0,13.0,21.0,0.0,4.0,0.0,0.0,0.0
 Season 5,Telugu Titans,Amit Singh Chhillar,"Defender, left corner",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
 Season 6,Telugu Titans,Amit Singh Chhillar,"Defender, left corner",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Overall,Telugu Titans,Amit Singh Chhillar,"Defender, left corner",35.0,60.0,1.0,59.0,6.0,1.0,1.0,4.0,0.0,16.66,38.31,154.0,55.0,99.0,4.0,7.0,2.0,0.0,0.0
 Season 1,Jaipur Pink Panthers,Anup Kumar,Raider,16.0,169.0,155.0,14.0,255.0,123.0,46.0,86.0,8.0,60.78,40.0,35.0,12.0,23.0,2.0,16.0,3.0,0.0,0.0
 Season 2,Jaipur Pink Panthers,Anup Kumar,Raider,14.0,81.0,74.0,7.0,244.0,61.0,35.0,148.0,1.0,30.32,58.33,12.0,6.0,6.0,1.0,10.0,8.0,0.0,0.0
 Season 3,Jaipur Pink Panthers,Anup Kumar,Raider,13.0,79.0,76.0,3.0,209.0,63.0,25.0,121.0,3.0,36.36,33.33,9.0,3.0,6.0,0.0,9.0,1.0,1.0,0.0
 Season 4,Jaipur Pink Panthers,Anup Kumar,Raider,14.0,82.0,72.0,10.0,230.0,60.0,29.0,141.0,1.0,31.3,41.66,24.0,9.0,15.0,1.0,11.0,4.0,1.0,0.0
 Season 5,Jaipur Pink Panthers,Anup Kumar,Raider,21.0,135.0,112.0,23.0,281.0,84.0,44.0,153.0,2.0,39.85,38.33,60.0,19.0,41.0,4.0,11.0,6.0,0.0,0.0
 Season 6,Jaipur Pink Panthers,Anup Kumar,Raider,13.0,50.0,38.0,12.0,127.0,30.0,21.0,76.0,2.0,29.92,36.36,33.0,12.0,21.0,0.0,8.0,2.0,0.0,0.0
 Overall,Jaipur Pink Panthers,Anup Kumar,Raider,91.0,596.0,527.0,69.0,1346.0,421.0,200.0,725.0,17.0,39.15,39.88,173.0,61.0,112.0,8.0,16.0,24.0,2.0,0.0
 Season 2,Bengal Warriors,Bhupender Singh,All Rounder,11.0,30.0,22.0,8.0,63.0,18.0,15.0,30.0,1.0,34.92,40.0,20.0,8.0,12.0,0.0,7.0,2.0,0.0,0.0
 Season 3,Bengal Warriors,Bhupender Singh,All Rounder,11.0,12.0,11.0,1.0,33.0,8.0,11.0,14.0,0.0,33.33,14.28,7.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0
