stats_status,team_name,total_matches,wins,losses,draws,total_raids,success_raids,all_outs,unsuccess_raids,empty_raid,success_raid_percent,super_raids,total_tackles,success_tackles,unsuccesful_tackles,tackle_success_rate,super_tackles,green_cards,yellow_cards,red_cards
 Season 1,Bengaluru Bulls,16.0,8.0,7.0,1.0,647.0,225.0,20.0,172.0,250.0,45.0,7.0,353.0,153.0,200.0,46.0,10.0,8.0,1.0,0.0
 Season 2,Bengaluru Bulls,16.0,10.0,6.0,0.0,730.0,194.0,25.0,163.0,373.0,35.0,10.0,341.0,158.0,183.0,48.0,7.0,24.0,0.0,0.0
 Season 3,Bengaluru Bulls,14.0,2.0,12.0,0.0,603.0,158.0,12.0,148.0,297.0,35.0,9.0,291.0,94.0,197.0,34.0,7.0,5.0,3.0,1.0
 Season 4,Bengaluru Bulls,14.0,5.0,8.0,1.0,605.0,157.0,9.0,143.0,305.0,33.0,4.0,287.0,109.0,178.0,43.0,15.0,3.0,0.0,0.0
 Season 5,Bengaluru Bulls,22.0,8.0,11.0,3.0,943.0,336.0,28.0,195.0,412.0,42.0,5.0,480.0,185.0,295.0,42.0,17.0,8.0,0.0,1.0
 Season 6,Bengaluru Bulls,24.0,15.0,7.0,2.0,1005.0,431.0,37.0,211.0,363.0,54.0,20.0,550.0,219.0,331.0,42.0,12.0,14.0,1.0,0.0
 Season 7,Bengaluru Bulls,19.0,10.0,8.0,1.0,794.0,309.0,21.0,213.0,272.0,49.0,8.0,437.0,167.0,270.0,43.0,25.0,3.0,0.0,0.0
,Bengaluru Bulls,125.0,58.0,59.0,8.0,5327.0,1810.0,152.0,1245.0,2272.0,43.0,63.0,2740.0,1086.0,1654.0,43.0,93.0,65.0,5.0,2.0
 Season 1,Dabang Delhi K.C.,14.0,5.0,8.0,1.0,559.0,246.0,18.0,139.0,174.0,51.0,5.0,370.0,124.0,246.0,36.0,10.0,10.0,0.0,0.0
 Season 2,Dabang Delhi K.C.,14.0,4.0,9.0,1.0,585.0,159.0,13.0,151.0,275.0,37.0,14.0,333.0,122.0,211.0,41.0,14.0,13.0,0.0,0.0
